snapshot_date,book,team,win_total,over_odds,under_odds,fetched_at
2026-05-15,DraftKings,Baltimore Ravens,11.5,115,-140,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Los Angeles Rams,10.5,-145,120,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Buffalo Bills,10.5,-130,110,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Seattle Seahawks,10.5,-120,100,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Detroit Lions,10.5,-105,-115,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Green Bay Packers,10.5,110,-130,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Philadelphia Eagles,10.5,115,-135,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Kansas City Chiefs,10.5,125,-145,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,San Francisco 49ers,10.5,125,-145,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Houston Texans,10.5,-110,-110,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Denver Broncos,9.5,-115,-105,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,New England Patriots,9.5,-105,-115,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Los Angeles Chargers,9.5,-115,-105,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Chicago Bears,9.5,100,-120,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Cincinnati Bengals,9.5,-140,115,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Dallas Cowboys,9.5,110,-130,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Jacksonville Jaguars,8.5,110,-130,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Tampa Bay Buccaneers,8.5,105,-125,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Pittsburgh Steelers,8.5,100,-120,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Minnesota Vikings,8.5,105,-125,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,New York Giants,7.5,-110,-110,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,New Orleans Saints,7.5,-120,100,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Carolina Panthers,7.5,110,-130,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Washington Commanders,7.5,-120,100,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Indianapolis Colts,7.5,-130,110,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Tennessee Titans,6.5,-115,-105,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Atlanta Falcons,6.5,-120,100,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Cleveland Browns,6.5,110,-130,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Las Vegas Raiders,5.5,-145,120,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,New York Jets,5.5,-130,110,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Arizona Cardinals,4.5,125,-150,2026-05-15T22:43:04.375838+00:00
2026-05-15,DraftKings,Miami Dolphins,4.5,-110,-110,2026-05-15T22:43:04.375838+00:00
2026-05-21,DraftKings,Baltimore Ravens,11.5,115,-140,2026-05-21T17:32:37.902571+00:00
2026-05-21,DraftKings,Los Angeles Rams,10.5,-145,120,2026-05-21T17:32:37.902571+00:00
2026-05-21,DraftKings,Buffalo Bills,10.5,-130,110,2026-05-21T17:32:37.902571+00:00
2026-05-21,DraftKings,Seattle Seahawks,10.5,-120,100,2026-05-21T17:32:37.902571+00:00
2026-05-21,DraftKings,Detroit Lions,10.5,-105,-115,2026-05-21T17:32:37.902571+00:00
